states_id,state_name,state_code,created
1, Alabama,1,19-01-2021 14:14
2, Alaska,2,19-01-2021 14:14
3, Arizona,4,19-01-2021 14:14
4, Arkansas,5,19-01-2021 14:14
5, California,6,19-01-2021 14:14
6, Colorado,8,19-01-2021 14:14
7, Connecticut,9,19-01-2021 14:14
8, Delaware,10,19-01-2021 14:14
9, District of Columbia,11,19-01-2021 14:14
10, Florida,12,19-01-2021 14:14
11, Georgia,13,19-01-2021 14:14
12, Hawaii,15,19-01-2021 14:14
13, Idaho,16,19-01-2021 14:14
14, Illinois,17,19-01-2021 14:14
15, Indiana,18,19-01-2021 14:14
16, Iowa,19,19-01-2021 14:14
17, Kansas,20,19-01-2021 14:14
18, Kentucky,21,19-01-2021 14:14
19, Louisiana,22,19-01-2021 14:14
20, Maine,23,19-01-2021 14:14
21, Maryland,24,19-01-2021 14:14
22, Massachusetts,25,19-01-2021 14:14
23, Michigan,26,19-01-2021 14:14
24, Minnesota,27,19-01-2021 14:14
25, Mississippi,28,19-01-2021 14:14
26, Missouri,29,19-01-2021 14:14
27, Montana,30,19-01-2021 14:14
28, Nebraska,31,19-01-2021 14:14
29, Nevada,32,19-01-2021 14:14
30, New Hampshire,33,19-01-2021 14:14
31, New Jersey,34,19-01-2021 14:14
32, New Mexico,35,19-01-2021 14:14
33, New York,36,19-01-2021 14:14
34, North Carolina,37,19-01-2021 14:14
35, North Dakota,38,19-01-2021 14:14
36, Ohio,39,19-01-2021 14:14
37, Oklahoma,40,19-01-2021 14:14
38, Oregon,41,19-01-2021 14:14
39, Pennsylvania,42,19-01-2021 14:14
40, Rhode Island,44,19-01-2021 14:14
41, South Carolina,45,19-01-2021 14:14
42, South Dakota,46,19-01-2021 14:14
43, Tennessee,47,19-01-2021 14:14
44, Texas,48,19-01-2021 14:14
45, Utah,49,19-01-2021 14:14
46, Vermont,50,19-01-2021 14:14
47, Virginia,51,19-01-2021 14:14
48, Washington,53,19-01-2021 14:14
49, West Virginia,54,19-01-2021 14:14
50, Wisconsin,55,19-01-2021 14:14
51, Wyoming,56,19-01-2021 14:14
52, Puerto Rico,72,19-01-2021 14:14
